"Frequency (Hz)","Absolute Amplitude (a.u.)"
1.464843750E0,1.182204597E-1
2.929687500E0,8.662885180E-2
4.394531250E0,2.139470230E-1
5.859375000E0,2.583849084E-1
7.324218750E0,1.990706246E-1
8.789062500E0,4.317056073E-2
1.025390625E1,1.429947750E-1
1.171875000E1,1.331166435E-1
1.318359375E1,2.613478039E-1
1.464843750E1,2.201558820E-1
1.611328125E1,3.872419192E-2
1.757812500E1,3.294939959E-1
1.904296875E1,1.349845748E-1
2.050781250E1,1.582960913E-1
2.197265625E1,3.478284979E-2
2.343750000E1,6.509769049E-2
2.490234375E1,2.741187733E-1
2.636718750E1,1.857642308E-1
2.783203125E1,1.395177296E-1
2.929687500E1,1.795619280E-1
3.076171875E1,1.488469081E-1
3.222656250E1,1.166386538E-1
3.369140625E1,2.201958713E-1
3.515625000E1,1.111434915E-1
3.662109375E1,9.388677945E-2
3.808593750E1,1.458256235E-1
3.955078125E1,2.692644030E-1
4.101562500E1,1.250992800E-1
4.248046875E1,1.988741201E-1
4.394531250E1,3.001257095E-1
4.541015625E1,3.917743916E-2
4.687500000E1,1.992019480E-1
4.833984375E1,4.843979390E-1
4.980468750E1,2.170761882E-1
5.126953125E1,2.677649502E-1
5.273437500E1,7.962167387E-1
5.419921875E1,5.378918696E-1
5.566406250E1,8.391290062E-1
5.712890625E1,7.114456260E-1
5.859375000E1,6.371042905E-1
6.005859375E1,3.372451953E-1
6.152343750E1,1.095890635E0
6.298828125E1,6.604265074E-1
6.445312500E1,1.549763500E0
6.591796875E1,8.449313606E-1
6.738281250E1,7.223192566E-1
6.884765625E1,3.609549955E-1
7.031250000E1,5.166843619E-1
7.177734375E1,2.225308546E-1
7.324218750E1,6.036462989E-1
7.470703125E1,3.657355610E-1
7.617187500E1,4.142084589E-1
7.763671875E1,2.777612263E-1
7.910156250E1,6.132120841E-1
8.056640625E1,6.819590131E-1
8.203125000E1,8.452761204E-2
8.349609375E1,3.109418907E-1
8.496093750E1,2.581426758E-1
8.642578125E1,2.229161014E-1
8.789062500E1,8.008534480E-1
8.935546875E1,3.297387678E-1
9.082031250E1,5.103018664E-1
9.228515625E1,8.305118532E-2
9.375000000E1,3.199257251E-1
