"Time (s)","Peak-Frequency"
0.000000000E0,6.298828125E1
4.266666667E-2,2.446289062E2
7.253333333E-1,1.611328125E2
1.408000000E0,2.050781250E2
2.090666667E0,4.923339844E3
2.773333333E0,1.844238281E3
3.456000000E0,1.842773438E3
4.138666667E0,1.461914062E3
4.821333333E0,1.850097656E3
5.504000000E0,1.844238281E3
6.186666667E0,4.998046875E3
6.869333333E0,1.872070312E3
7.552000000E0,1.432617188E3
8.234666667E0,2.084472656E3
8.917333333E0,1.880859375E3
9.600000000E0,5.002441406E3
1.028266667E1,1.875000000E3
1.096533333E1,1.431152344E3
1.164800000E1,4.993652344E3
1.233066667E1,4.993652344E3
1.301333333E1,1.842773438E3
1.369600000E1,5.030273438E3
1.437866667E1,5.041992188E3
1.506133333E1,2.028808594E3
1.574400000E1,1.845703125E3
1.642666667E1,1.888183594E3
1.710933333E1,5.052246094E3
1.779200000E1,4.946777344E3
1.847466667E1,5.011230469E3
1.915733333E1,5.005371094E3
1.984000000E1,4.996582031E3
2.052266667E1,4.974609375E3
2.120533333E1,4.974609375E3
2.188800000E1,5.015625000E3
2.257066667E1,2.195800781E3
2.325333333E1,2.279296875E3
2.393600000E1,4.962890625E3
2.461866667E1,4.848632812E3
2.530133333E1,5.012695312E3
2.598400000E1,2.138671875E2
2.666666667E1,2.241210938E2
2.734933333E1,4.013671875E2
2.803200000E1,3.808593750E2
2.871466667E1,NaN
2.939733333E1,NaN
3.008000000E1,NaN
3.076266667E1,NaN
3.144533333E1,NaN
3.212800000E1,NaN
