"Time (s)","Recording (a.u.)"
2.083333333E-5,2.746582031E-4
4.166666667E-5,8.239746094E-4
6.250000000E-5,8.544921875E-4
8.333333333E-5,9.460449219E-4
1.041666667E-4,1.708984375E-3
1.250000000E-4,1.129150391E-3
1.458333333E-4,2.380371094E-3
1.666666667E-4,7.324218750E-4
1.875000000E-4,4.272460938E-4
2.083333333E-4,-1.831054688E-4
2.291666667E-4,-3.356933594E-4
2.500000000E-4,-3.356933594E-4
2.708333333E-4,-6.713867188E-4
2.916666667E-4,5.187988281E-4
3.125000000E-4,2.746582031E-4
3.333333333E-4,8.239746094E-4
3.541666667E-4,8.850097656E-4
3.750000000E-4,6.408691406E-4
3.958333333E-4,5.493164062E-4
4.166666667E-4,6.103515625E-5
4.375000000E-4,0.000000000E0
4.583333333E-4,-1.831054688E-4
4.791666667E-4,3.051757812E-5
5.000000000E-4,7.019042969E-4
5.208333333E-4,6.408691406E-4
5.416666667E-4,4.577636719E-4
5.625000000E-4,3.356933594E-4
5.833333333E-4,7.934570312E-4
6.041666667E-4,5.798339844E-4
6.250000000E-4,-4.882812500E-4
6.458333333E-4,-7.324218750E-4
6.666666667E-4,-4.882812500E-4
6.875000000E-4,-3.662109375E-4
7.083333333E-4,-6.713867188E-4
7.291666667E-4,-5.493164062E-4
7.500000000E-4,-5.493164062E-4
7.708333333E-4,2.136230469E-4
7.916666667E-4,9.155273438E-5
8.125000000E-4,-4.882812500E-4
8.333333333E-4,-3.051757812E-4
8.541666667E-4,-1.007080078E-3
8.750000000E-4,-9.765625000E-4
8.958333333E-4,-1.525878906E-3
9.166666667E-4,-1.373291016E-3
9.375000000E-4,-1.129150391E-3
9.583333333E-4,-7.934570312E-4
9.791666667E-4,-1.831054688E-4
1.000000000E-3,-7.019042969E-4
1.020833333E-3,1.831054688E-4
1.041666667E-3,-3.051757812E-4
1.062500000E-3,-4.882812500E-4
1.083333333E-3,-7.629394531E-4
1.104166667E-3,-1.586914062E-3
1.125000000E-3,-9.765625000E-4
1.145833333E-3,-1.770019531E-3
1.166666667E-3,-2.014160156E-3
1.187500000E-3,-1.708984375E-3
1.208333333E-3,-1.403808594E-3
1.229166667E-3,-8.239746094E-4
1.250000000E-3,-1.342773438E-3
1.270833333E-3,-1.159667969E-3
1.291666667E-3,-1.098632812E-3
1.312500000E-3,-1.403808594E-3
1.333333333E-3,-1.098632812E-3
1.354166667E-3,-8.544921875E-4
1.375000000E-3,-2.746582031E-4
1.395833333E-3,-6.408691406E-4
1.416666667E-3,-8.850097656E-4
1.437500000E-3,-1.007080078E-3
1.458333333E-3,-1.770019531E-3
1.479166667E-3,-1.190185547E-3
1.500000000E-3,-1.464843750E-3
1.520833333E-3,-5.798339844E-4
1.541666667E-3,-1.220703125E-4
1.562500000E-3,-3.967285156E-4
1.583333333E-3,5.187988281E-4
1.604166667E-3,-6.713867188E-4
1.625000000E-3,-9.155273438E-4
1.645833333E-3,-1.251220703E-3
1.666666667E-3,-1.831054688E-3
1.687500000E-3,-1.647949219E-3
1.708333333E-3,-1.739501953E-3
1.729166667E-3,-1.129150391E-3
1.750000000E-3,-8.544921875E-4
1.770833333E-3,-7.934570312E-4
1.791666667E-3,-3.967285156E-4
1.812500000E-3,-6.713867188E-4
1.833333333E-3,-4.272460938E-4
1.854166667E-3,-4.882812500E-4
1.875000000E-3,-7.324218750E-4
1.895833333E-3,-2.441406250E-4
1.916666667E-3,-2.136230469E-4
1.937500000E-3,-3.967285156E-4
1.958333333E-3,-9.460449219E-4
1.979166667E-3,-1.129150391E-3
2.000000000E-3,-1.159667969E-3
2.020833333E-3,-9.155273438E-4
2.041666667E-3,-1.464843750E-3
2.062500000E-3,-1.312255859E-3
2.083333333E-3,-2.441406250E-4
2.104166667E-3,-2.441406250E-4
2.125000000E-3,-9.155273438E-4
2.145833333E-3,-1.159667969E-3
2.166666667E-3,-8.544921875E-4
2.187500000E-3,-1.525878906E-3
2.208333333E-3,-3.051757812E-4
2.229166667E-3,-1.525878906E-4
2.250000000E-3,3.662109375E-4
2.270833333E-3,4.882812500E-4
2.291666667E-3,-1.342773438E-3
2.312500000E-3,-6.713867188E-4
2.333333333E-3,-1.464843750E-3
2.354166667E-3,-5.798339844E-4
2.375000000E-3,-7.629394531E-4
2.395833333E-3,-1.495361328E-3
2.416666667E-3,-1.373291016E-3
2.437500000E-3,-2.441406250E-3
2.458333333E-3,-1.983642578E-3
2.479166667E-3,-1.892089844E-3
2.500000000E-3,-1.403808594E-3
2.520833333E-3,-6.103515625E-5
2.541666667E-3,-2.136230469E-4
2.562500000E-3,-7.019042969E-4
2.583333333E-3,-9.460449219E-4
2.604166667E-3,-9.765625000E-4
2.625000000E-3,-1.495361328E-3
2.645833333E-3,-1.007080078E-3
2.666666667E-3,-1.190185547E-3
2.687500000E-3,-7.324218750E-4
2.708333333E-3,-4.272460938E-4
2.729166667E-3,-9.460449219E-4
2.750000000E-3,-6.408691406E-4
2.770833333E-3,-4.577636719E-4
2.791666667E-3,-1.525878906E-4
2.812500000E-3,6.103515625E-5
2.833333333E-3,-6.103515625E-5
2.854166667E-3,9.155273438E-4
2.875000000E-3,2.746582031E-4
2.895833333E-3,6.713867188E-4
2.916666667E-3,-9.155273438E-5
2.937500000E-3,3.356933594E-4
2.958333333E-3,3.051757812E-5
2.979166667E-3,-4.272460938E-4
3.000000000E-3,-6.103515625E-5
3.020833333E-3,-2.441406250E-4
3.041666667E-3,9.765625000E-4
3.062500000E-3,-1.220703125E-4
3.083333333E-3,3.967285156E-4
3.104166667E-3,-1.525878906E-4
3.125000000E-3,-1.831054688E-4
3.145833333E-3,6.408691406E-4
3.166666667E-3,1.220703125E-4
3.187500000E-3,1.251220703E-3
3.208333333E-3,9.155273438E-4
3.229166667E-3,9.460449219E-4
3.250000000E-3,-3.356933594E-4
3.270833333E-3,-9.765625000E-4
3.291666667E-3,-4.272460938E-4
3.312500000E-3,-1.800537109E-3
3.333333333E-3,-1.098632812E-3
3.354166667E-3,-5.493164062E-4
3.375000000E-3,0.000000000E0
3.395833333E-3,3.967285156E-4
3.416666667E-3,-6.103515625E-5
3.437500000E-3,1.159667969E-3
3.458333333E-3,4.577636719E-4
3.479166667E-3,1.037597656E-3
3.500000000E-3,2.746582031E-4
3.520833333E-3,-3.662109375E-4
3.541666667E-3,4.882812500E-4
3.562500000E-3,-1.068115234E-3
3.583333333E-3,1.831054688E-4
3.604166667E-3,3.051757812E-5
3.625000000E-3,-3.051757812E-5
3.645833333E-3,1.068115234E-3
3.666666667E-3,7.629394531E-4
3.687500000E-3,6.103515625E-4
3.708333333E-3,3.051757812E-4
3.729166667E-3,9.155273438E-5
3.750000000E-3,2.441406250E-4
3.770833333E-3,-6.103515625E-5
3.791666667E-3,3.051757812E-5
3.812500000E-3,6.103515625E-5
3.833333333E-3,7.324218750E-4
3.854166667E-3,4.272460938E-4
3.875000000E-3,1.068115234E-3
3.895833333E-3,8.544921875E-4
3.916666667E-3,7.934570312E-4
3.937500000E-3,1.007080078E-3
3.958333333E-3,2.746582031E-4
3.979166667E-3,1.525878906E-4
4.000000000E-3,-2.746582031E-4
4.020833333E-3,1.831054688E-4
4.041666667E-3,5.798339844E-4
4.062500000E-3,1.525878906E-4
4.083333333E-3,5.493164062E-4
4.104166667E-3,1.495361328E-3
4.125000000E-3,1.464843750E-3
4.145833333E-3,1.159667969E-3
4.166666667E-3,1.342773438E-3
4.187500000E-3,4.882812500E-4
4.208333333E-3,5.187988281E-4
4.229166667E-3,3.051757812E-4
4.250000000E-3,6.103515625E-5
4.270833333E-3,2.441406250E-4
4.291666667E-3,1.220703125E-4
4.312500000E-3,8.239746094E-4
4.333333333E-3,2.136230469E-4
4.354166667E-3,-3.967285156E-4
4.375000000E-3,1.220703125E-4
4.395833333E-3,-5.187988281E-4
4.416666667E-3,-3.356933594E-4
4.437500000E-3,-1.220703125E-4
4.458333333E-3,6.103515625E-5
4.479166667E-3,-6.103515625E-5
4.500000000E-3,-3.051757812E-4
4.520833333E-3,7.324218750E-4
4.541666667E-3,7.629394531E-4
4.562500000E-3,1.831054688E-4
4.583333333E-3,0.000000000E0
4.604166667E-3,0.000000000E0
4.625000000E-3,-4.882812500E-4
4.645833333E-3,-1.098632812E-3
4.666666667E-3,-1.007080078E-3
4.687500000E-3,-6.103515625E-5
4.708333333E-3,3.051757812E-5
4.729166667E-3,7.629394531E-4
4.750000000E-3,-2.136230469E-4
4.770833333E-3,-8.544921875E-4
4.791666667E-3,-2.441406250E-4
4.812500000E-3,-3.051757812E-4
4.833333333E-3,3.051757812E-5
4.854166667E-3,6.103515625E-5
4.875000000E-3,1.342773438E-3
4.895833333E-3,5.798339844E-4
4.916666667E-3,9.765625000E-4
4.937500000E-3,7.019042969E-4
4.958333333E-3,5.493164062E-4
4.979166667E-3,1.037597656E-3
5.000000000E-3,-3.051757812E-5
5.020833333E-3,-5.187988281E-4
5.041666667E-3,-8.850097656E-4
5.062500000E-3,3.356933594E-4
5.083333333E-3,3.662109375E-4
5.104166667E-3,7.934570312E-4
5.125000000E-3,7.629394531E-4
5.145833333E-3,3.967285156E-4
5.166666667E-3,4.272460938E-4
5.187500000E-3,-3.051757812E-4
5.208333333E-3,-6.103515625E-4
5.229166667E-3,-1.037597656E-3
5.250000000E-3,-1.220703125E-3
5.270833333E-3,-1.220703125E-3
5.291666667E-3,-9.460449219E-4
5.312500000E-3,-1.190185547E-3
5.333333333E-3,-7.934570312E-4
5.354166667E-3,-8.850097656E-4
5.375000000E-3,-7.324218750E-4
5.395833333E-3,-1.831054688E-4
5.416666667E-3,7.019042969E-4
5.437500000E-3,9.460449219E-4
5.458333333E-3,8.850097656E-4
5.479166667E-3,6.408691406E-4
5.500000000E-3,-4.882812500E-4
5.520833333E-3,4.882812500E-4
5.541666667E-3,9.155273438E-4
5.562500000E-3,6.103515625E-4
5.583333333E-3,6.713867188E-4
5.604166667E-3,7.934570312E-4
5.625000000E-3,1.129150391E-3
5.645833333E-3,4.882812500E-4
5.666666667E-3,3.051757812E-4
5.687500000E-3,6.103515625E-5
5.708333333E-3,0.000000000E0
5.729166667E-3,7.019042969E-4
5.750000000E-3,1.007080078E-3
5.770833333E-3,1.586914062E-3
5.791666667E-3,1.739501953E-3
5.812500000E-3,1.892089844E-3
5.833333333E-3,1.098632812E-3
5.854166667E-3,6.713867188E-4
5.875000000E-3,1.129150391E-3
5.895833333E-3,4.272460938E-4
5.916666667E-3,8.544921875E-4
5.937500000E-3,7.324218750E-4
5.958333333E-3,1.129150391E-3
5.979166667E-3,1.831054688E-3
6.000000000E-3,1.464843750E-3
6.020833333E-3,1.586914062E-3
6.041666667E-3,1.708984375E-3
6.062500000E-3,1.068115234E-3
6.083333333E-3,6.408691406E-4
6.104166667E-3,7.934570312E-4
6.125000000E-3,1.495361328E-3
6.145833333E-3,1.190185547E-3
6.166666667E-3,1.342773438E-3
6.187500000E-3,1.251220703E-3
6.208333333E-3,8.850097656E-4
6.229166667E-3,5.798339844E-4
6.250000000E-3,2.136230469E-4
6.270833333E-3,4.272460938E-4
6.291666667E-3,7.324218750E-4
6.312500000E-3,1.556396484E-3
6.333333333E-3,1.647949219E-3
6.354166667E-3,2.197265625E-3
6.375000000E-3,2.105712891E-3
6.395833333E-3,1.220703125E-3
6.416666667E-3,1.007080078E-3
6.437500000E-3,6.408691406E-4
6.458333333E-3,1.281738281E-3
6.479166667E-3,1.007080078E-3
6.500000000E-3,9.460449219E-4
6.520833333E-3,5.187988281E-4
6.541666667E-3,5.187988281E-4
6.562500000E-3,8.239746094E-4
6.583333333E-3,-1.831054688E-4
6.604166667E-3,6.713867188E-4
6.625000000E-3,7.324218750E-4
6.645833333E-3,3.356933594E-4
6.666666667E-3,1.098632812E-3
6.687500000E-3,9.765625000E-4
6.708333333E-3,2.441406250E-4
6.729166667E-3,4.577636719E-4
6.750000000E-3,-6.103515625E-5
6.770833333E-3,1.831054688E-4
6.791666667E-3,-2.136230469E-4
6.812500000E-3,1.220703125E-4
6.833333333E-3,-3.967285156E-4
6.854166667E-3,-7.019042969E-4
6.875000000E-3,-6.713867188E-4
6.895833333E-3,-7.934570312E-4
6.916666667E-3,3.356933594E-4
6.937500000E-3,-2.746582031E-4
6.958333333E-3,6.103515625E-5
6.979166667E-3,4.577636719E-4
7.000000000E-3,1.220703125E-4
7.020833333E-3,8.850097656E-4
7.041666667E-3,9.460449219E-4
7.062500000E-3,1.068115234E-3
7.083333333E-3,5.798339844E-4
7.104166667E-3,0.000000000E0
7.125000000E-3,3.051757812E-4
7.145833333E-3,1.220703125E-4
7.166666667E-3,8.544921875E-4
7.187500000E-3,1.098632812E-3
7.208333333E-3,1.312255859E-3
7.229166667E-3,8.239746094E-4
